KakaoTalk Chats 자바 프로그래밍 전체톡 (24)
Date Saved : May 28, 2018, 9:46 AM


March 3, 2018, 12:52 AM
March 5, 2018, 10:14 AM, 한정섭 : dev app같은것
March 5, 2018, 10:17 AM, java : 모니터가 없다는 게 뭐예요?
March 5, 2018, 10:17 AM, 이승용 : 맥에서 윈도우쓸 parallels desktop 같은거간요
March 5, 2018, 10:17 AM, 김기범 : 소스코드?
March 5, 2018, 10:17 AM, 도영 : 기계언어?
March 5, 2018, 10:17 AM, 송창우(SCW) : 8비트 코드?
March 5, 2018, 10:17 AM, 이승용 : 1개의 바이트를 담고있는 코드?
March 5, 2018, 10:18 AM, 김대교 : virtual machine을 위한 코드??
March 5, 2018, 10:18 AM, java : 네
March 5, 2018, 10:18 AM, ㅇ : 화면을 보여주지 않는것 = 모니터가 없다.
March 5, 2018, 10:19 AM, 정희석 : 기계가 알아들을수 있게 바이트로 처리한 코드?
March 5, 2018, 10:19 AM, Java programing left this chatroom.
March 5, 2018, 10:19 AM, java : Bytecode 기계언어
March 5, 2018, 10:19 AM, 송창우(SCW) : 바이트 코드 = 기계언어
March 5, 2018, 10:19 AM, ㅇ : 바이트코드는 기계언어다.
March 5, 2018, 10:19 AM, 이승용 : 네
March 5, 2018, 10:19 AM, 김기범 : 바이트코드==기계언어
March 5, 2018, 10:19 AM, 송창우(SCW) : 네
March 5, 2018, 10:19 AM, 도영 : 바이트코드는 기계언어
March 5, 2018, 10:20 AM, Java_Lov : 네!
March 5, 2018, 10:20 AM, you : 그럼 버추얼머신에 적용되는 기계어가 바이트코드가 되는건가요?
March 5, 2018, 10:20 AM, 이승용 : 바이트코드 == 머신코드
March 5, 2018, 10:21 AM, 박세은 : 바이트=머신=기계
March 5, 2018, 10:21 AM, 정희석 : 클래스는 확장자명인가요?
March 5, 2018, 10:21 AM, Java_Lov : assembly 언어
March 5, 2018, 10:21 AM, 이승용 : 있다
March 5, 2018, 10:21 AM, 김기범 : 있다!
March 5, 2018, 10:21 AM, Java_Lov : 없다?
March 5, 2018, 10:21 AM, Synergy : 있다
March 5, 2018, 10:21 AM, 이승용 : 있다
March 5, 2018, 10:21 AM, 박세은 : 있다
March 5, 2018, 10:21 AM, 김대교 : 있다
March 5, 2018, 10:22 AM, java : assemnly code를 볼 수없다
March 5, 2018, 10:22 AM, 정희석 : 있다
March 5, 2018, 10:22 AM, ㅇ : 있다
March 5, 2018, 10:22 AM, 도영 : 없다
March 5, 2018, 10:22 AM, 송창우(SCW) : 없다?
March 5, 2018, 10:22 AM, Java programing joined this chatroom.
March 5, 2018, 10:22 AM, 한정섭 : 있다
March 5, 2018, 10:22 AM, Synergy : 아니다
March 5, 2018, 10:22 AM, Java_Lov : 없다
March 5, 2018, 10:22 AM, 이승용 : 없다
March 5, 2018, 10:22 AM, java : 필요하지 않다
March 5, 2018, 10:22 AM, ㅇ : 없다.
March 5, 2018, 10:22 AM, 최동현 : 없다
March 5, 2018, 10:22 AM, 한정섭 : 꼭 필요없다
March 5, 2018, 10:22 AM, 도영 : 있다
March 5, 2018, 10:22 AM, 김대교 : 없다
March 5, 2018, 10:22 AM, 박세은 : 필요하다?
March 5, 2018, 10:22 AM, Java_Lov : 왜 필요하지 않나요?
March 5, 2018, 10:23 AM, 이승용 : Optimize 한다는게 코딩을 더 효율적으로 쓴다는건가요?
March 5, 2018, 10:23 AM, 정희석 : 컴파일러가 최적화하는거랑 사람이 어셈블리 접근해서 하는거랑 차이가 많이나나요?
March 5, 2018, 10:25 AM, Synergy : 그렇다면 수정이 자주 필요한 프로그램은 C보단 java가 더 좋다는 건가요
March 5, 2018, 10:25 AM, 김기범 : 최적화말씀하시는건가요?
March 5, 2018, 10:26 AM, ㅇ : 기계언어를 줄이면 소스파일에는 아무런 영향이 없나요?
March 5, 2018, 10:27 AM, 박세은 : optimize 뜻을 잘 이해하지 못했어요ㅠ
March 5, 2018, 10:28 AM, you : 소스파일 -(컴파일)-> 바이트코드(기계어) -(optimize)->바이트코드(최적화됨)
March 5, 2018, 10:31 AM, 박세은 : 이해됐습니다!
March 5, 2018, 10:31 AM, ㅇ : 자바파일을 컨파일하는데 컨파일이 자동으로 되므로 의도와 다르게 기계어(바이트코드)가 완성 될 수 있다. 이때 사람이 바이트코드를 자체적으로 수정하는것을 optimize라고 한다.
March 5, 2018, 10:32 AM, ㅇ : 컴파일....;)
March 5, 2018, 10:32 AM, you : compile이라 compiler
March 5, 2018, 10:32 AM, 송창우(SCW) : :-)
March 5, 2018, 10:33 AM, you : spd
March 5, 2018, 10:33 AM, you : 넹
March 5, 2018, 10:33 AM, 박세은 : 좋아요~!
March 5, 2018, 10:33 AM, 송창우(SCW) : 슬라이드보다 재밌어요
March 5, 2018, 10:33 AM, Java_Lov : 좋아요:)
March 5, 2018, 10:33 AM, 한정섭 : 네
March 5, 2018, 10:33 AM, 이승용 : 굿 굿
March 5, 2018, 10:33 AM, ㅇ : 좋아용
March 5, 2018, 10:33 AM, 21500002 : 1.   Optimize(최적화)란?
Compile은 자동(CPU가 machine language를 받아 자동으로 실행)이기 때문에 우리가 원하는 대로 bytecode가 나오지 않을 수도 있다. 이 과정을 원하는 대로(=효율적으로) 수정하는 것
March 5, 2018, 10:33 AM, java : 넹
March 5, 2018, 10:36 AM, Java_Lov : java 프로그램을 컴파일하면 bytecode program으로 변환 -> JVM(가상머신)에서 실행 -> 기계언어로 전환 -> 기계에서 실행 -> 프로그램 output
March 5, 2018, 10:37 AM, Java_Lov : *interpreter
March 5, 2018, 10:37 AM, java : bytecode 가 기계언어라고 하셨는데 왜 통역이 필요하죠?
March 5, 2018, 10:38 AM, you : JVM이 이해하는 기계어가 bytecode
March 5, 2018, 10:38 AM, you : 하드웨어가 이해하는 기계어로 바꿔주는게 JVM
March 5, 2018, 10:39 AM, you : 인것같아요 ;)
March 5, 2018, 10:39 AM, 이현지 : JVM은 바이트코드를 CPU가 이해하는 기계어로 통역한다
March 5, 2018, 10:39 AM, java :  Bytecode는 JVM만 이해 가능 . 하지만 JVM은 동시에 CPU가 이해 할 수 있는 있는 기계어로 번역. 
March 5, 2018, 10:40 AM, 21500002 : 2.   bytecode 가 기계언어라고 하셨는데 왜 통역이 필요하죠?
Bytecode는 virtual machine만 알아들을 수 있는 언어이기 때문에 Hardware가 알아듣기 위해 다시한번 통역을 해준다. 여기서 JVM은 통역사의 역할을 한다.
March 5, 2018, 10:40 AM, Java_Lov : 단점: 시간이 오래 걸린다
March 5, 2018, 10:40 AM, Java_Lov : 장점: 모든 os에서 작동이 가능하다
March 5, 2018, 10:40 AM, Java_Lov : ?
March 5, 2018, 10:40 AM, ㅇ : 장점 : C보다 간단하다..
March 5, 2018, 10:40 AM, java : 수정에 용이하다
March 5, 2018, 10:41 AM, 정희석 : 단점 : c보다 절차가 더 들어갔다
March 5, 2018, 10:41 AM, 김기범 : 번역과정이 두번이라서 시간이 오래걸리는건가요?
March 5, 2018, 10:41 AM, Java_Lov : JVM에서 실행되기 때문에 OS 위에 JVM만 있으면 어떤 OS에서도 작동이 가능하지만, 번역이 두번이기 때문에 시간이 오래 걸린다.
March 5, 2018, 10:41 AM, 정희석 : 하드웨어가 램메모리만 뜻하나요?
March 5, 2018, 10:42 AM, java : 장점: 수정과 편집에 용이하다
March 5, 2018, 10:43 AM, java : 이해가 안강ㅅ
March 5, 2018, 10:43 AM, java : 안가요
March 5, 2018, 10:43 AM, 박세은 : 모든 하드웨어의 부분이 이해가 안됩니다ㅠ
March 5, 2018, 10:44 AM, 송창우(SCW) : JVM을 어플 같이 생각할 수 있나요?
March 5, 2018, 10:44 AM, java : 다시 한번만요
March 5, 2018, 10:44 AM, ㅇ : 똑같은 class파일이 돌아가는게 왜 좋은점인가요?
March 5, 2018, 10:44 AM, 이승용 : 에뮬레이터라서 다른 OS라도 돌아가는건가요
March 5, 2018, 10:45 AM, you : 프로그래머가 작성한 소스코드 -(컴파일)->바이트코드(optimize는 옵션)->JVM-(interpreter)->하드웨어가 이해하는 기계어
March 5, 2018, 10:45 AM, 21500002 : Java's Advantage: JVM이 깔린 모든 하드웨어에서 *.class가 돌아가기 때문에 범용성이 크다.
March 5, 2018, 10:46 AM, Synergy : 장점: 개발자는 하드웨어에 상관없이 같은 프로그램을 만들어도 다른 모든 하드웨어에서 돌아간다
March 5, 2018, 10:46 AM, 박세은 : 이해됐습니다!
March 5, 2018, 10:46 AM, java : 이해했습니다
March 5, 2018, 10:46 AM, ㅇ : 이해 됐어요
March 5, 2018, 10:46 AM, 유정연 : 그럼 자바가 좋은점이 가상머신을 통해 작업을 처리하기 때문에 굳이 OS를 신경쓰지않아도 되서 범용성이 좋은건가요
March 5, 2018, 10:47 AM, 남재창 : Potability 이식성
March 5, 2018, 10:59 AM, you : 소스코드가 잘 실행되면 가도 되는 건가요
March 5, 2018, 10:59 AM, 정희석 : 확인받고 가라고 하셨어요
March 5, 2018, 4:27 PM, 남재창 : 오늘 수업듣느라 고생했어요. 수업 노트 정리하는 것 도와줄 사람 jcnam@handong.edu로 메일주거나 Google sheet 한동 계정으로 들어가서 바로 이름 남겨도 되요. 노트 정리하고 싶은 날로…. https://goo.gl/VKDL2p 이름쓰기 부끄러우면 카카오 챗방 닉네임 써도 되요. 이거 하면 Extra Point 1점 부여. 선착순으로 2번도 가능 (=총 2점까지 보너스 점수 획득.) 학생 여러분의 많은 참여 바랍니다 :)
March 5, 2018, 4:49 PM, 남재창 : 오늘 수업이 정리하기 제일 좋은 편일거에요. 진도가 많이 안나가서요. 대신 중요한 질문들과 토론들이 있었죠.(카톡방 참고) 오늘 수업한 거  정리할 사람 있으면 좋을 것 같은데 :) 한글로 해도 됩니다.

March 7, 2018, 7:30 PM
March 7, 2018, 7:30 PM, 21500002 : 오늘 수업
March 7, 2018, 7:31 PM, 21500002 : 어디서하나요
March 7, 2018, 7:31 PM, 정희석 : 다음주로바뀌지않았나요?
March 7, 2018, 7:31 PM, 21500002 : 아 다음주에요?
March 7, 2018, 7:31 PM, 박세은 : 14일 아닌가요?
March 7, 2018, 7:31 PM, 21500002 : 감사요
March 7, 2018, 8:30 PM, 남재창 : 미리 한번 공지 한다는 걸 깜빡했네요. 14일 수요일 19:30에 NTH413에서 보강 있어요.
March 7, 2018, 10:06 PM, 이현지 : 네 감사합니다!

March 8, 2018, 8:52 AM
March 8, 2018, 8:52 AM, 남재창 : 눈/비가 많이 와요. 바람도 많이 불고. 조심히들 와요. Be safe!
March 8, 2018, 9:10 AM, 송창우(SCW) : 드디어.... 눈을 보다니...
March 8, 2018, 9:19 AM, 송창우(SCW) : 근데 왠 물 웅덩이들이...
March 8, 2018, 9:34 AM, 정희석 : 하이레벨
March 8, 2018, 9:34 AM, 김대교 : 하이레벨
March 8, 2018, 9:34 AM, 정희석 : 어셈블리
March 8, 2018, 9:34 AM, 김대교 : 어셈블리
March 8, 2018, 9:34 AM, 김대교 : 머신
March 8, 2018, 9:34 AM, 정희석 : 기계어
March 8, 2018, 9:34 AM, 이승용 : 머신언어
March 8, 2018, 9:35 AM, you : 바이트코드
March 8, 2018, 9:36 AM, 도영 : 어셈블리
March 8, 2018, 9:36 AM, 이현지 : 자바에서는 머신언어 = 바이트코드
March 8, 2018, 9:36 AM, 도영 : 구글번역가
March 8, 2018, 9:39 AM, ㅇ : 빔프로젝트
March 8, 2018, 9:39 AM, Java_Lov : 스캐너
March 8, 2018, 9:40 AM, 정희석 : 스크린
March 8, 2018, 9:40 AM, 이승용 : 스크린
March 8, 2018, 9:40 AM, 김대교 : 컨트롤러
March 8, 2018, 9:40 AM, Java_Lov : 스크린
March 8, 2018, 9:40 AM, 도영 : 스크린
March 8, 2018, 9:40 AM, ㅇ : 리모콘
March 8, 2018, 9:40 AM, 이승용 : hdmi
March 8, 2018, 9:40 AM, ㅇ : 컴퓨터
March 8, 2018, 9:41 AM, java left this chatroom.
March 8, 2018, 9:41 AM, ㅇ : 객체는 주체가 되어 행동을 할 수 있고 정보를 가지고 있는 것.
March 8, 2018, 9:41 AM, Java_Lov : 객체: 자신이 주체가 되어 행동하고 특정 정보를 가지고 있는 것
March 8, 2018, 9:42 AM, Java_Lov : 데이타+액션
March 8, 2018, 9:42 AM, 이승용 : 영상 output
March 8, 2018, 9:42 AM, Synergy : 데이터: 이미지
엑션: 이미지를 보여주는것
March 8, 2018, 9:42 AM, ㅇ : 액션 : 빔을 쏘아 영상을 내보낸다
March 8, 2018, 9:42 AM, 김대교 : 영장 정보를 받는다 
March 8, 2018, 9:42 AM, Java_Lov : 전원?
March 8, 2018, 9:42 AM, Java_Lov : 아
March 8, 2018, 9:42 AM, you : 전원장치 +충전
March 8, 2018, 9:43 AM, 도영 : 네
March 8, 2018, 9:47 AM, ㅇ : maven repositores : 자바 오픈소스
March 8, 2018, 9:50 AM, ㅇ : 오픈소스를 만들어 패키지로 묶으면 다른 사람도 재사용 할 수 있다.
March 8, 2018, 9:51 AM, 21500002 : object-oriented의 장점
1. reuse
March 8, 2018, 9:52 AM, Synergy : C에서의 structure이랑 비슷하게 생각하면 될까요?
March 8, 2018, 9:54 AM, Java_Lov : instance: 객체의 개념이 실제로 구현되어 특정 이름을 갖게 된 것
March 8, 2018, 9:54 AM, 이현지 : 개념 -> 오브젝트, 구체화되면 -> 인스턴스
March 8, 2018, 9:54 AM, 송창우(SCW) : 화살표는 뭘 의미하나요?
March 8, 2018, 9:55 AM, ㅇ : 사용자가 패키지를 나눠서 사용은 못하나요?
March 8, 2018, 9:58 AM, 21500002 : Ex) 
object(사물의 개념):projector, screen, smart controller
instant(구체화된 사물) : NTH413 Projector, NTH413 Screen, NTH Smart Controller
March 8, 2018, 9:59 AM, Java_Lov : 데이터 액션
March 8, 2018, 10:01 AM, Java_Lov : 바이트코드
March 8, 2018, 10:01 AM, 정희석 : 그럼 자바는 임베디드 시스템으로 주로 쓰이나요?
March 8, 2018, 10:22 AM, 한정섭 : int n1,n2 변수를 클래스에 선언하면 안되는 이유가 잇나요?
March 8, 2018, 10:24 AM, 정희석 : java.util이라는 패키지는 따로 오픈소스로 다운안받았는데도 작동이 되는 이유가 궁금해요
March 8, 2018, 10:24 AM, 김기범 : mathod 랑 action이랑 같은건가요?
March 8, 2018, 10:30 AM, 성빈 : '아무거나'
March 8, 2018, 10:30 AM, 이승용 : NEC
March 8, 2018, 10:30 AM, 한정섭 : test
March 8, 2018, 10:30 AM, 유정연 : naything
March 8, 2018, 10:30 AM, 유정연 : any
March 8, 2018, 10:30 AM, 도영 : ilovejava
March 8, 2018, 10:40 AM, Synergy : 오픈소스 환경에서 처음의 author가 누군지 적어놓을려고?
March 8, 2018, 10:41 AM, you : 코드 자체에 달리는 주석?
March 8, 2018, 10:41 AM, 박세은 : 자바독 = 설명서
March 8, 2018, 10:42 AM, 유정연 : coment
March 8, 2018, 2:38 PM, 이상현 joined this chatroom.
March 8, 2018, 3:52 PM, 남재창 : 오늘도 수업 잘 들어주고 따라와 줘서 고마워요! 오늘 실습 내용들 다 못한 친구들은, 반드시 완료 하셔야 다음 수업 및 다음 실습에 문제가 없을 거에요!
March 8, 2018, 3:53 PM, 남재창 : 그리고 미안하게 됐는데, 다음주 수요일 3월 14일 저녁에 예정된 보강을 한주더 연기해서 3월 21일 수요일 저녁 19:30에 해도 될까요? 학부에 다른 일정이 생겨서, 이렇게 됐습니다.
March 8, 2018, 3:53 PM, 남재창 : 안돼는 사람 알려줘요….일단 의견을 좀 들어보고…
March 8, 2018, 3:53 PM, 유정연 : 괜찮습니다 교수님
March 8, 2018, 3:54 PM, 이승용 : 괜찮습니다
March 8, 2018, 3:54 PM, 도영 : 
March 8, 2018, 3:54 PM, 이승용 : !
March 8, 2018, 3:54 PM, you : 괜찮아요.
March 8, 2018, 3:54 PM, ㅇ : 괜찮습니다~
March 8, 2018, 3:54 PM, 김대교 : 괜찮습니다~
March 8, 2018, 3:54 PM, 남재창 : 안되는 사람만 말하기 ㅎㅎㅎㅎ;;;;

March 9, 2018, 6:38 AM
March 9, 2018, 6:38 AM, 남재창 : 앍을거리 http://m.hanbit.co.kr//channel/category/category_view.html?cms_code=CMS6400110084
March 9, 2018, 6:44 AM, 재호17 : 영어..ㅜㅜ
March 9, 2018, 6:48 AM, 남재창 : 나도 처음에 코딩 할 때 영어가 필요하겠나 싶은데, 영어 잘하면 좋은게, 웬만한 코딩관련 자료들 영어 알면 다 찾을 수 있다는 장점이....전문 개발자가 되면 자연스럽게 영어 잘하면 유리하다는 것 알게 됨. 지금은 그냥 수업시간에 배우는 것만 열심히...ㅎㅎ;;
March 9, 2018, 6:49 AM, 재호17 : 찾아보진못해도 책이라도 열심히 보겠습니닿ㅎ
March 9, 2018, 6:49 AM, 남재창 : 참고로 우리가 배운 자바 메뉴얼인 자바독도 오픈소스 문서 중 하나...그거 영어로 작성해야 전세계 사람들이 내가 만든 패키지 사용 가능...;;;
March 9, 2018, 6:50 AM, 남재창 : (wow)
March 9, 2018, 6:50 AM, 재호17 : 우와... 차차 늘어가겠죠ㅎㅎ;;
March 9, 2018, 9:31 AM, 이수아 left this chatroom.

March 12, 2018, 9:25 AM
March 12, 2018, 9:25 AM, 남재창 : Good morning everyone!
March 12, 2018, 9:35 AM, 정희석 : 데이타 + 액션
March 12, 2018, 9:35 AM, 김기범 : 사물이나 사상 그 자체
March 12, 2018, 9:36 AM, 이승용 : 바이트코드
March 12, 2018, 9:36 AM, 정희석 : 소스코드나 바이트코드의 확장자명
March 12, 2018, 9:36 AM, Java_Lov : 객체에 대한 설계도?
March 12, 2018, 9:36 AM, 김대교 : 구체화 시킨거
March 12, 2018, 9:36 AM, ㅇ : 구체화한거
March 12, 2018, 9:36 AM, 21500002 : 객체의 실체화
March 12, 2018, 9:37 AM, Java_Lov : 객체의 개념이 구체화되어 특정 이름을 갖게 된 것
March 12, 2018, 9:39 AM, 이승용 : 설명서 : 자바독
March 12, 2018, 9:39 AM, 박세은 : 설명을 위해!
March 12, 2018, 9:39 AM, 한정섭 : html로변환해줘서
March 12, 2018, 10:27 AM, you : argument를 선언하는게 cmd에서 입력해주는거랑 똑같이 취급되는건가요?
March 12, 2018, 10:29 AM, you : 네
March 12, 2018, 12:58 PM, 남재창 : 오늘도 수업 잘 들어줘서 고마워요. 지난 번 수업과 오늘 수업은 무척 중요해요. 03-04 슬라이드 꼼꼼히 공부하고, 거기 나오는 스탭을 뭐하는 건지 확실히 이해해야 해요. 실습은 스스로 완성해서 다른 패키지 클래스를 내 코드에서 어떻게 인스턴스 만들어서 public 인스턴수 변수와 public 메서드 부르는 지도 잘 알아야 하고, 기본적으로 모든 라인에 주석을 다는 훈련을 해요. 클래스와 public 인스턴스 변수와 public메서도 바로 앞에는 자바독 항상 작성하고요.
March 12, 2018, 12:59 PM, 남재창 : 여기 src폴더 가면 오늘 실습 코드가 있으니 참고해요.
March 12, 2018, 12:59 PM, 남재창 : https://github.com/lifove/sclass
March 12, 2018, 12:59 PM, 남재창 : 실습을 혼자힘으로 해본 후에 참고용으로만 봐요.

March 13, 2018, 12:58 PM
March 13, 2018, 12:58 PM, 남재창 : 오늘 날씨 엄청 좋네요 :) 완전 봄...
March 13, 2018, 12:58 PM, Synergy : 그러게요 ^^
March 13, 2018, 12:58 PM, 남재창 : 혹시 헷갈릴까봐 그러는데 내일 밤에 보강 없어요. ㅎㅎ 다음주 수요일이 보강이에요.
March 13, 2018, 12:59 PM, Synergy : 네 감사합니다!!
March 13, 2018, 12:59 PM, 김기범 : 네 감사합니다~
March 13, 2018, 12:59 PM, you : 알려주셔서 감사합니당
March 13, 2018, 1:00 PM, 도영 : 
March 13, 2018, 1:01 PM, 이상현 : 감사합니다 교수님ㅎㅎ
March 13, 2018, 1:03 PM, 이현지 : 감사합니다~
March 13, 2018, 1:35 PM, 최동현 : 감사합니다~
March 13, 2018, 1:59 PM, 정희석 : 감사합니다

March 15, 2018, 8:50 AM
March 15, 2018, 8:50 AM, 남재창 : 부슬부슬 봄 비가 오는 차분한 아침이에요. 곧 만나요 :) 오늘 수업이랑 다음수업은 실습 없이 지겨운 이론수업을 좀 할거니 단단히 마음먹고 오세요 ㅎㅎ
March 15, 2018, 8:56 AM, Synergy : 감사합니다 교수님!!
March 15, 2018, 9:22 AM, 김기범 : 감사합니다 교수님!!
March 15, 2018, 9:54 AM, you : 스태틱으로 정의되는 경우면 굳이 여러번 메모리 할당을 할필요가 없다는 의미인건가요?
March 15, 2018, 10:02 AM, ㅇ : 교수님 메소드가 한번 실행하면 없어지는 거라고 하셨는데 그러면 모소드끼리 변수를 주고 받을 수는 없나요?
March 15, 2018, 10:08 AM, you : 바이트코드
March 15, 2018, 10:31 AM, ㅇ : 스캐너가 뭐하는 타입인가요..?
March 15, 2018, 10:40 AM, ㅇ : 넹!
March 15, 2018, 10:49 AM, 유정연 : Java Identifiers 슬라이더에 $ 심볼이 뭘 뜻하나요? 키값같은거 뜻하나요?
March 15, 2018, 10:52 AM, you : 넹
March 15, 2018, 10:52 AM, 유정연 : 네
March 15, 2018, 10:52 AM, 유정연 : 넹
March 15, 2018, 10:52 AM, Synergy : 이해됬습니다
March 15, 2018, 10:53 AM, Java_Lov : 됐어여

March 19, 2018, 9:05 AM
March 19, 2018, 9:05 AM, 남재창 : 폭풍우가 몰아치는 아침입니다. 모두 조심히 오세요!
March 19, 2018, 9:10 AM, 박세은 : 네~! 잠시 후 봽겠습니다!
March 19, 2018, 9:38 AM, 정희석 : 스태틱
March 19, 2018, 9:57 AM, 김대교 : 몰라요 
March 19, 2018, 9:57 AM, 이승용 : 몰라요
March 19, 2018, 9:57 AM, ㅇ : 몰라요
March 19, 2018, 9:57 AM, 정희석 : 몰라요
March 19, 2018, 9:57 AM, 이현지 : 몰라요
March 19, 2018, 9:57 AM, 성빈 : 몰라요
March 19, 2018, 9:57 AM, Java_Lov : 알아요
March 19, 2018, 9:57 AM, you : ㅠㅠ
March 19, 2018, 9:57 AM, 박세은 : 모릅니다 ㅠㅠ
March 19, 2018, 9:57 AM, 최동현 : 몰라요 
March 19, 2018, 9:57 AM, ㅇ : 오픈소스는 알아요
March 19, 2018, 9:57 AM, you : 단어는 들어봤어요
March 19, 2018, 9:57 AM, 재호17 : 들어가보기만했어요
March 19, 2018, 9:57 AM, 이승용 : 오픈소스
March 19, 2018, 9:57 AM, 이현지 : 단어만..
March 19, 2018, 9:57 AM, 정희석 : 들어만봤어요
March 19, 2018, 9:57 AM, Java_Lov : 들어봣어요11
March 19, 2018, 9:57 AM, 이준범(zech) : 들어는 봤어요
March 19, 2018, 9:57 AM, Synergy : 오픈소스는 들어봤습니다
March 19, 2018, 9:57 AM, 이승용 : 들어봤어요
March 19, 2018, 9:57 AM, 김기범 : 들어봤습니다!
March 19, 2018, 9:57 AM, 성빈 : 오픈소스수업은듣는데
March 19, 2018, 9:58 AM, 박세은 : 단어만 들어봤습니다~
March 19, 2018, 9:58 AM, 최동현 : os는 듣고 잇어요
March 19, 2018, 9:58 AM, you : 오픈소스 소프트웨어강의는 듣는데 ㅠ
March 19, 2018, 9:58 AM, Java_Lov : 네1
March 19, 2018, 9:58 AM, you : 넹
March 19, 2018, 9:58 AM, you : 프리웨어라는 의미로 이해하면 되나요
March 19, 2018, 10:16 AM, 도영 : 들어봤어용
March 19, 2018, 10:30 AM, 김대교 : 배의 이름
March 19, 2018, 10:30 AM, you : 용도
March 19, 2018, 10:30 AM, Synergy : size
March 19, 2018, 10:30 AM, 정희석 : fuel
March 19, 2018, 10:30 AM, you : 재질
March 19, 2018, 10:30 AM, 이현지 : 속도
March 19, 2018, 10:30 AM, 도영 : 가격
March 19, 2018, 10:30 AM, Java_Lov : 방향
March 19, 2018, 10:31 AM, 이승용 : weight
March 19, 2018, 10:31 AM, you : 용량이랑 선체 길이?
March 19, 2018, 10:31 AM, ㅇ : 크기
March 19, 2018, 10:32 AM, 김기범 : 연료 량
